Order_ID,pH_0_30,BD_0_30,WHC_0_30,TC_Soil_0_30,TN_Soil_0_30,TP_Soil_0_30,C_N_Soil_0_30,Simpson,Shannon_wiener,Pielou,Richness,AGB,Cover_Plant,High_Plant,Number,TC_Plant,TN_Plant,TP_Plant,C_N_Plant,BGB_0_30,TC_Root_0_30,TN_Root_0_30,TP_Root_0_30,Relative_Coverage_Sedges,Relative_Coverage_Grass,Relative_Coverage_Shrubs,Relative_Coverage_Toxic_Plants,Relative_Coverage_Desirable_forbs,Relative_Quantity_Sedges,Relative_Quantity_Grass,Relative_Quantity_Shrubs,Relative_Quantity_Toxic_Plants,Relative_Quantity_Desirable_forbs,Relative_AGB_Sedges,Relative_AGB_Grass,Relative_AGB_Shrubs,Relative_AGB_Toxic_Plants,Relative_AGB_Desirable_forbs,Pi_Sedges,Pi_Grass,Pi_Shrubs,Pi_Toxic_Plants,Pi_Desirable_forbs,Relative_High_Sedges,Relative_High_Grass,Relative_High_Shrubs,Relative_High_Toxic_Plants,Relative_High_Desirable_forbs,Precipitation,Temperature,Growing_season_precipitation
16_5,6.6,1.22,88.82,193.93,17,2,11.4,0.88,2.4,0.88,15,133.88,83,2,848,31.44,1.6,0.09,19.71,3913.51,1115.61,48.52,2.36,0.34,0.15,0,0.07,0.44,0.13,0.12,0,0.12,0.63,0.16,0.04,0,0.14,0.66,0.22,0.14,0,0.13,0.51,0.2,0.14,0,0.21,0.44,4214,-5.5,3911
17_1,7.04,1.61,76.1,235.67,20.91,1.93,11.27,0.85,2.22,0.78,17,50.06,79,1.5,585,31.42,1.62,0.08,19.42,2048.62,760.71,30.03,1.09,0.64,0,0,0.28,0.08,0.2,0,0,0.67,0.14,0.42,0,0,0.49,0.09,0.33,0,0,0.36,0.31,0.17,0,0,0.14,0.7,3380,-7.3,3189
17_2,6.61,1.27,76.32,176.09,15.76,1.71,11.17,0.91,2.64,0.9,19,109.19,95,2,1067,19.27,0.92,0.05,21.06,3980.24,1259.68,52.8,2.19,0.45,0.08,0,0.14,0.33,0.1,0.04,0,0.36,0.5,0.41,0.01,0,0.17,0.41,0.24,0.06,0,0.25,0.45,0.18,0.04,0,0.25,0.52,3393,-7.1,3167
17_3,7.18,1.67,56.18,98.77,9.44,1.38,10.46,0.92,2.7,0.92,19,74.95,58,1.5,993,27.42,1.26,0.06,21.78,4962.09,1470.52,59.76,2.43,0.39,0.04,0,0.32,0.25,0.05,0.01,0,0.64,0.31,0.69,0.01,0,0.21,0.09,0.22,0.06,0,0.4,0.32,0.23,0.12,0,0.25,0.4,3393,-7.1,3167
17_4,7.18,1.74,65.79,140.92,12.95,1.6,10.88,0.9,2.5,0.86,18,73.42,72,1.5,1053,19.89,0.93,0.04,21.31,4580.79,1528.64,58.33,2.47,0.6,0,0,0.13,0.27,0.12,0,0,0.46,0.42,0.51,0,0,0.22,0.26,0.31,0,0,0.26,0.43,0.2,0,0,0.18,0.61,3380,-7.3,3189
17_5,7.15,1.4,54.23,102.61,9.62,1.07,10.67,0.86,2.23,0.87,13,48.61,89,1.5,1261,27.67,1.37,0.07,20.15,2327.66,847.52,30.07,1.55,0.56,0.01,0,0.37,0.06,0.1,0,0,0.64,0.25,0.36,0.02,0,0.45,0.17,0.31,0.03,0,0.45,0.21,0.27,0.08,0,0.32,0.33,3393,-7.1,3167
18_1,8.46,3.76,25.77,162.99,13.28,2.86,12.27,0.77,1.65,0.85,7,96.86,55,1,2156,44.56,2.06,0.1,21.61,2347.59,694.5,25.68,2.32,0.45,0,0,0.46,0.09,0.09,0,0,0.88,0.03,0.37,0,0,0.59,0.03,0.39,0,0,0.52,0.09,0.63,0,0,0.21,0.16,2761,-5.1,2641
18_2,8.63,3.62,20.99,40.61,2.76,0.69,14.74,0.67,1.38,0.77,6,47.98,50,2,1735,92.31,3.31,0.16,27.86,1554.66,428.72,14.67,0.86,0.36,0.04,0,0.59,0.02,0.02,0.01,0,0.97,0,0.3,0.01,0,0.68,0.01,0.25,0.18,0,0.55,0.02,0.38,0.49,0,0.09,0.04,2761,-5.1,2641
18_3,8.64,4.45,21.97,231.87,17.84,4.9,13,0.82,2.03,0.82,12,88.01,44,1.5,747,43.11,1.88,0.09,22.87,445.43,155.79,5.11,0.19,0.11,0.08,0,0.74,0.07,0.02,0.11,0,0.34,0.54,0.04,0.04,0,0.78,0.13,0.12,0.24,0,0.43,0.23,0.23,0.51,0,0.21,0.08,2761,-5.1,2641
18_4,8.51,4.02,24.9,180.01,15.7,3.55,11.46,0.75,1.73,0.75,10,125.62,48,1,352,74.51,2.9,0.14,25.67,839.72,278.89,10.88,0.39,0.23,0.02,0,0.74,0.02,0.07,0.02,0,0.77,0.14,0.11,0,0,0.86,0.02,0.17,0.2,0,0.57,0.06,0.22,0.55,0,0.19,0.03,2761,-5.1,2641
18_5,8.7,4.15,19.75,202.37,14.05,4.22,14.41,0.7,1.7,0.69,14,107.93,40,2,232,51.34,2.01,0.11,25.5,626.54,203.71,7.05,0.27,0.13,0.04,0.02,0.77,0.04,0.06,0.02,0.02,0.84,0.06,0.09,0,0.01,0.89,0.01,0.15,0.17,0.04,0.56,0.08,0.26,0.45,0.07,0.08,0.13,2761,-5.1,2641
19_1,8.5,1.01,24.01,63.74,5.4,1.7,11.79,0.9,2.7,0.87,22,116.8,36,2,856,36.63,2.24,0.21,16.34,536.42,184.02,7.73,0.58,0.21,0.04,0,0.14,0.61,0.15,0,0,0.11,0.74,0.19,0.16,0,0.09,0.57,0.19,0.09,0,0.17,0.55,0.21,0.22,0,0.27,0.3,2704,-5.7,2586
19_2,8.42,1.16,26.9,113.3,8.84,1.95,12.82,0.86,2.32,0.84,16,138.51,98,2,1900,54.52,2.96,0.2,18.41,572.82,188.85,6.02,0.51,0.58,0.01,0,0.24,0.17,0.1,0.02,0,0.61,0.28,0.26,0.02,0,0.54,0.18,0.27,0.04,0,0.4,0.29,0.13,0.09,0,0.36,0.42,2704,-5.7,2586
19_3,8.46,0.99,33.11,92.99,8.18,1.73,11.36,0.73,1.96,0.72,15,296.17,92,1.5,2215,36.75,2.13,0.14,17.25,1979.29,696.94,20.78,1.44,0.1,0,0,0.01,0.89,0.01,0,0,0.04,0.94,0.04,0,0,0.02,0.94,0.08,0.04,0,0.09,0.79,0.13,0.12,0,0.21,0.53,2704,-5.7,2586
19_4,8.52,0.94,41.87,79.62,6.15,1.46,12.96,0.88,2.39,0.88,15,107.65,38,1.5,1478,52.97,2.86,0.21,18.54,3788.73,1365.19,31.75,2.43,0.52,0.01,0,0.06,0.41,0.05,0,0,0.13,0.82,0.32,0.01,0,0.08,0.59,0.27,0.05,0,0.11,0.58,0.23,0.13,0,0.13,0.51,2704,-5.7,2586
19_5,8.47,1.02,26.53,85.74,7.1,1.58,12.08,0.91,2.55,0.92,16,82.49,65,1.5,1105,54.48,3.51,0.21,15.5,1485.33,519.17,18.13,0.94,0.24,0.1,0,0.04,0.62,0.03,0.02,0,0.18,0.76,0.24,0.19,0,0.1,0.48,0.14,0.07,0,0.17,0.61,0.16,0.1,0,0.29,0.45,2704,-5.7,2586
20_1,8.55,1.13,30.31,70.95,7.48,1.35,9.48,0.84,2.04,0.88,10,93.46,15,3,161,94.92,4.92,0.28,19.29,116.99,37.76,2.14,0.09,0,0.07,0,0.13,0.8,0,0.02,0,0.21,0.77,0,0.07,0,0.12,0.81,0,0.07,0,0.16,0.77,0,0.12,0,0.15,0.74,2570,-7.2,2447
20_2,8.57,0.88,38.29,66.57,5.49,0.9,12.12,0.86,2.24,0.87,13,77.96,43,0.8,1004,37.22,2.08,0.19,17.91,5037.48,1499.58,67.22,2.7,0.64,0,0,0.23,0.13,0.08,0,0,0.61,0.31,0.59,0,0,0.25,0.15,0.33,0,0,0.4,0.28,0.26,0,0,0.35,0.4,2570,-7.2,2447
20_3,8.49,1.23,23.48,57.14,4.67,0.92,12.23,0.75,1.84,0.8,10,74.37,41,1.5,1583,8.61,0.49,0.02,17.43,610.08,215.52,11.07,0.54,0,0.18,0,0.11,0.71,0,0.01,0,0.07,0.92,0,0.1,0,0.02,0.88,0,0.1,0,0.14,0.76,0,0.1,0,0.25,0.65,2570,-7.2,2447
20_4,8.42,1.27,21.39,70.97,7.73,1.5,9.18,0.89,2.47,0.89,16,60.12,43,1,1427,14.39,0.72,0.04,20.02,477.49,150.77,5.85,0.28,0.43,0.08,0,0.28,0.21,0.03,0,0,0.71,0.26,0.18,0.19,0,0.42,0.21,0.21,0.05,0,0.43,0.3,0.18,0.08,0,0.31,0.43,2570,-7.2,2447
20_5,8.44,0.92,36.27,73.15,7.6,1.29,9.62,0.92,2.65,0.92,18,86.4,36,1,1115,55.54,3.73,0.33,14.89,695.87,197.52,10.22,0.47,0.28,0.05,0,0.13,0.53,0.07,0,0,0.5,0.43,0.11,0.02,0,0.13,0.74,0.2,0.06,0,0.27,0.47,0.24,0.14,0,0.17,0.45,2570,-7.2,2447
21_1,8.25,1.12,26.74,53.64,5.62,1.53,9.55,0.85,2.17,0.84,13,44.65,22,1,891,8.49,0.32,0.02,26.35,292.91,97,4.17,0.28,0.09,0,0,0.43,0.48,0.04,0,0,0.15,0.81,0.14,0,0,0.22,0.64,0.14,0,0,0.29,0.57,0.28,0,0,0.29,0.43,2606,-6.5,2493
21_2,8.07,1.07,30.1,59.69,6.04,1.48,9.88,0.89,2.46,0.91,15,43.19,78,1,1413,3.18,0.18,0.01,17.72,2328.52,815.06,22.91,1.38,0.59,0.02,0,0.16,0.23,0.01,0,0,0.47,0.52,0.21,0.04,0,0.24,0.51,0.21,0.06,0,0.3,0.42,0.04,0.16,0,0.28,0.52,2619,-6.5,2505
21_3,8.33,0.98,20.57,37.53,3.85,1.13,9.75,0.9,2.51,0.93,15,33.93,23,1.5,963,4.31,0.23,0.01,18.75,527.75,190.16,6.3,0.34,0.06,0.03,0,0.32,0.59,0.06,0,0,0.52,0.41,0.14,0.02,0,0.42,0.42,0.06,0.03,0,0.36,0.55,0.05,0.06,0,0.24,0.65,2619,-6.5,2505
21_4,8.28,1.13,20.06,43.28,3.81,1.44,11.35,0.9,2.47,0.89,16,31.55,50,1.5,838,7.26,0.49,0.03,14.8,910.78,295.98,8.93,0.45,0,0,0,0.49,0.5,0,0,0,0.61,0.39,0,0,0,0.66,0.34,0,0.01,0,0.51,0.47,0,0.03,0,0.45,0.52,2606,-6.5,2493
21_5,8.31,1.35,21.8,47.7,5,1.57,9.54,0.81,2.08,0.77,15,27.48,50,1,436,13.04,0.83,0.07,15.7,459.29,134.86,4.84,0.42,0,0.03,0,0.64,0.29,0,0.02,0,0.57,0.37,0,0.02,0,0.62,0.36,0,0.04,0,0.51,0.51,0,0.08,0,0.33,0.54,2619,-6.5,2505
22_1,6.75,1.41,51.84,269.69,27.67,2.58,9.75,0.86,2.56,0.82,23,258.19,100,3,1175,133.14,5.58,0.27,23.85,3011.4,1055.35,38.61,1.59,0.06,0.49,0,0.08,0.37,0.05,0.05,0,0.06,0.85,0.11,0.3,0,0.34,0.25,0.06,0.26,0,0.12,0.55,0.08,0.23,0,0.24,0.45,3673,-1.6,3494
22_2,7.1,1.78,45.87,235.29,24.27,2.78,9.69,0.92,2.74,0.89,22,147.45,100,2.5,435,67.42,3.84,0.26,17.54,2743.62,996.5,33,1.41,0.02,0.35,0,0.08,0.55,0.03,0.46,0,0.08,0.43,0.01,0.27,0,0.13,0.59,0.03,0.33,0,0.15,0.49,0.04,0.18,0,0.28,0.51,3673,-1.6,3494
22_3,8.13,2.32,14.11,83.71,5.19,0.78,16.13,0.92,2.73,0.88,22,129.98,40,2.5,692,80.17,3.58,0.15,22.37,1103.86,303.41,41.79,0.53,0.03,0.27,0.03,0.19,0.49,0.01,0.05,0.03,0.24,0.67,0.03,0.2,0.05,0.3,0.41,0.03,0.23,0.04,0.2,0.51,0.06,0.36,0.04,0.16,0.37,3673,-1.6,3494
22_4,7.43,1.29,59.96,236.85,24.79,2.89,9.55,0.87,2.36,0.82,18,581.35,100,30,839,92.92,4,0.21,23.25,2409.12,893.99,33.07,1.4,0.05,0.44,0,0.25,0.26,0.05,0.21,0,0.13,0.61,0.28,0.43,0,0.16,0.12,0.07,0.34,0,0.18,0.41,0.11,0.36,0,0.15,0.37,3671,-1.6,3492
22_5,7.16,1.61,40.42,237.04,24.05,2.02,9.86,0.94,3.06,0.9,30,419.61,100,3,469,89.69,3.77,0.17,23.8,4763.64,1405.49,46.67,1.82,0.29,0.18,0,0.21,0.32,0.03,0.06,0,0.41,0.51,0.02,0.41,0,0.36,0.21,0.12,0.18,0,0.29,0.41,0.04,0.31,0,0.25,0.39,3671,-1.6,3492
23_1,8.19,2.04,34.47,295.21,28.5,4.05,10.36,0.84,2.09,0.87,11,91.64,65,8,652,63.94,3.55,0.25,18.02,1034.71,238.76,9.53,1.06,0.01,0.56,0,0.12,0.31,0.01,0.1,0,0.1,0.78,0.01,0.08,0,0.07,0.84,0.02,0.33,0,0.21,0.5,0.05,0.35,0,0.12,0.4,4040,-5.2,3792
23_2,8.32,2.14,19.74,128.29,10.47,1.65,12.25,0.92,2.68,0.93,18,209.42,40,2,185,107.88,4.67,0.23,23.11,792.06,236.41,11.25,0.37,0.07,0.09,0.35,0.33,0.16,0.02,0.06,0.06,0.24,0.62,0.1,0.12,0.23,0.32,0.23,0.09,0.16,0.17,0.26,0.32,0.19,0.31,0.09,0.21,0.19,4040,-5.2,3792
23_3,8.49,2.07,21.13,145.18,10.58,1.58,13.72,0.94,2.94,0.91,25,193.5,60,6,725,38.75,1.77,0.1,21.95,1773.04,626.15,27.05,1.2,0.1,0.13,0.06,0.37,0.35,0.02,0.06,0.01,0.45,0.46,0.02,0.12,0.08,0.52,0.26,0.06,0.18,0.04,0.37,0.34,0.07,0.35,0.07,0.29,0.22,4066,-5.3,3816
23_4,7.07,2.29,26.2,224.74,23.19,3.64,9.69,0.89,2.57,0.81,25,132.21,70,3.5,1288,57.28,3.04,0.19,18.82,1686.38,594.58,25.54,1.24,0.02,0.4,0,0.2,0.38,0.04,0.09,0,0.26,0.62,0.1,0.54,0,0.06,0.3,0.04,0.31,0,0.19,0.46,0.08,0.44,0,0.11,0.38,4066,-5.3,3816
23_5,7.34,1.74,30.34,156.36,15.82,1.59,9.88,0.92,2.78,0.91,21,84.03,75,3.5,694,59.38,3.02,0.17,19.65,3822.52,1180.82,44.55,2.61,0.35,0.04,0,0.07,0.54,0.03,0.04,0,0.08,0.85,0.05,0.28,0,0.05,0.62,0.16,0.11,0,0.14,0.59,0.1,0.25,0,0.26,0.39,4066,-5.3,3816
24_1,6.54,1.81,36.95,137.57,14.47,2.5,9.51,0.84,2.17,0.82,14,97.74,94,1,2977,58.03,4.05,0.3,14.33,1496.6,523.31,19.62,1.74,0.06,0,0,0.05,0.9,0.02,0,0,0.29,0.69,0.05,0,0,0.06,0.89,0.09,0,0,0.19,0.72,0.19,0,0,0.22,0.58,4317,-3.4,4073
24_2,6.38,2.1,34.69,158.14,15.29,3.37,10.35,0.87,2.21,0.89,12,82.54,62.5,1,325,69.34,4.85,0.28,14.31,951.51,292.39,11.83,0.72,0.03,0.01,0,0.05,0.91,0.02,0.02,0,0.07,0.89,0.01,0.02,0,0.04,0.93,0.05,0.02,0,0.14,0.79,0.11,0.03,0,0.28,0.58,4300,-3.2,4056
24_3,6.66,1.96,34.29,164.59,16.72,3.33,9.84,0.91,2.63,0.91,18,82.36,30,1,800,56.82,3.78,0.23,15.04,1494,574.79,33.13,0.81,0.32,0.05,0,0.14,0.49,0.03,0.01,0,0.18,0.78,0.22,0,0,0.08,0.69,0.15,0.05,0,0.16,0.64,0.09,0.1,0,0.15,0.66,4300,-3.2,4056
24_4,6.46,2.16,31.61,166.01,16.9,4.15,9.83,0.78,1.95,0.76,13,126.49,70,1,1162,29.36,2.01,0.12,14.62,1779.11,621.68,28.09,1.47,0.02,0,0,0.08,0.9,0.03,0,0,0.02,0.95,0.02,0,0,0.01,0.97,0.1,0,0,0.15,0.75,0.24,0,0,0.35,0.41,4300,-3.2,4056
24_5,6.42,2.03,32.37,166.75,16.94,3.76,9.84,0.85,2.25,0.85,14,82.3,54,1,997,24.14,1.49,0.11,16.16,1074.57,259.75,12.19,0.71,0.05,0,0,0.09,0.86,0.01,0,0,0.25,0.75,0.04,0,0,0.06,0.9,0.06,0,0,0.18,0.75,0.14,0,0,0.2,0.66,4300,-3.2,4056
25_1,8.49,2.67,7.48,79.77,5.28,1.18,15.09,0.76,1.59,0.82,7,37.53,20,3,143,7.7,0.3,0.01,25.9,1852.77,731.8,29.11,1.01,0.58,0.18,0,0.21,0.03,0.29,0.09,0,0.28,0.34,0.64,0.21,0,0.12,0.04,0.39,0.17,0,0.29,0.14,0.3,0.26,0,0.39,0.06,1878,-3.1,1800
25_2,8.44,2.31,9.17,231.33,14.91,3.45,15.52,0.81,1.8,0.92,7,38.44,25,4,193,7.45,0.31,0.02,23.92,2348.46,753.79,37.32,1.39,0.5,0.22,0,0.11,0.17,0.17,0.56,0,0.06,0.21,0.45,0.39,0,0.07,0.08,0.27,0.51,0,0.07,0.15,0.15,0.74,0,0.03,0.09,1869,-2.9,1791
25_3,8.04,1.83,13.44,178.89,10.95,3.02,16.34,0.77,1.68,0.86,7,53.1,34,8.5,1155,4.83,0.22,0.01,21.48,1026.91,350.1,17.3,0.76,0.4,0.28,0,0.12,0.2,0.57,0.26,0,0.02,0.15,0.32,0.27,0,0.07,0.34,0.37,0.33,0,0.09,0.21,0.13,0.45,0,0.13,0.29,1878,-3.1,1800
25_4,8.1,2.36,10.76,190.77,11.13,3.44,17.14,0.75,1.49,0.92,5,63.64,30,5,818,10.25,0.51,0.02,19.97,1198.49,447.12,15.65,0.75,0.15,0.53,0,0.13,0.2,0.27,0.52,0,0.02,0.18,0.11,0.59,0,0.11,0.19,0.22,0.56,0,0.06,0.15,0.25,0.63,0,0.04,0.07,1878,-3.1,1800
25_5,8.23,2.24,10.18,183.87,11.35,3.42,16.19,0.74,1.52,0.85,6,41.18,30,5,311,9.54,0.47,0.02,20.09,2686.42,875.9,35.49,1.39,0.16,0.56,0,0.16,0.13,0.03,0.69,0,0.16,0.11,0.16,0.51,0,0.25,0.07,0.12,0.62,0,0.12,0.14,0.16,0.62,0,0.04,0.17,1878,-3.1,1800
26_1,8.05,1.93,22.56,133.56,11.21,1.67,11.91,0.79,1.87,0.81,10,85.48,85,2.5,962,38.64,1.51,0.09,25.59,4834.7,1356.72,45.99,2.16,0.69,0.02,0,0.11,0.17,0.03,0.02,0,0.08,0.83,0.27,0.03,0,0.15,0.55,0.27,0.05,0,0.21,0.43,0.11,0.12,0,0.45,0.29,2317,-6.5,2208
26_2,8.06,2.19,23.68,74.51,6.98,1.22,10.68,0.73,1.51,0.78,7,154.44,75,1.5,1028,9.08,0.31,0.02,29.49,3108.45,1043.17,30.23,1.95,0,0.04,0,0.79,0.17,0,0.03,0,0.32,0.65,0,0.03,0,0.64,0.33,0,0.14,0,0.4,0.46,0,0.34,0,0.09,0.56,2351,-7,2240
26_3,8.2,2.3,27.87,61.54,6.03,1.04,10.2,0.65,1.42,0.73,7,163.34,60,1.5,446,67.35,2.28,0.12,29.56,1710.65,464.3,40.72,1.08,0,0.11,0,0.84,0.05,0,0.11,0,0.78,0.11,0,0.06,0,0.93,0.01,0,0.26,0,0.58,0.16,0,0.56,0,0.14,0.31,2351,-7,2240
26_4,8.06,2.08,23.97,171.99,13.53,2.1,12.71,0.87,2.26,0.88,13,91.79,85,2.5,614,49.05,1.7,0.12,28.93,2782.62,965.79,37.12,1.66,0.15,0.18,0,0.35,0.32,0.01,0.07,0,0.75,0.17,0.04,0.16,0,0.53,0.27,0.1,0.19,0,0.46,0.25,0.14,0.31,0,0.28,0.27,2317,-6.5,2208
26_5,8.05,2.28,23.71,54.2,4.81,0.89,11.27,0.79,1.86,0.85,9,181.34,75,2.5,1051,31.63,1.12,0.07,28.2,2236.67,800.01,30.74,1.15,0.01,0.06,0,0.8,0.13,0.18,0.05,0,0.37,0.41,0.02,0.05,0,0.7,0.23,0.1,0.09,0,0.49,0.32,0.1,0.17,0,0.3,0.44,2317,-6.5,2208
27_1,8.12,1.95,13,201.37,17.14,2.71,11.75,0.86,2.03,0.92,9,80.07,60,2.5,249,20.63,0.82,0.04,25.05,1838.03,725.39,23.53,0.96,0.34,0.36,0,0.19,0.11,0.08,0.18,0,0.25,0.49,0.15,0.44,0,0.31,0.09,0.18,0.39,0,0.18,0.24,0.12,0.65,0,0.1,0.13,2235,-4.3,2147
27_2,8.54,2.08,19.46,210.55,12.44,3.11,16.92,0.85,2.03,0.92,9,50.17,35,3.5,344,26.06,0.92,0.06,28.18,2111.88,696.19,27.8,1,0.23,0.48,0,0.23,0.08,0.11,0.09,0,0.53,0.28,0.48,0.23,0,0.24,0.05,0.18,0.4,0,0.29,0.13,0.22,0.64,0,0.11,0.04,2235,-4.3,2147
27_3,8.54,2.28,17.86,156.65,8.7,2.05,18,0.84,1.99,0.9,9,54.43,20,2,465,23.95,1,0.05,23.96,1794.71,544.46,19.95,1.01,0.08,0.42,0,0.38,0.12,0.02,0.05,0,0.39,0.54,0.2,0.23,0,0.4,0.16,0.08,0.29,0,0.35,0.28,0.15,0.4,0,0.26,0.18,2242,-4.3,2154
27_4,8.29,1.87,17.54,169.52,13.58,2.14,12.48,0.84,1.91,0.92,8,71.99,80,2,432,16.92,0.61,0.03,27.79,2624.03,937.11,36.29,1.36,0.15,0.6,0,0.15,0.1,0.02,0.08,0,0.35,0.55,0.05,0.5,0,0.31,0.13,0.09,0.4,0,0.28,0.23,0.1,0.53,0,0.34,0.03,2242,-4.3,2154
27_5,8.33,1.92,15.78,192.42,15.16,2.54,12.69,0.82,1.78,0.91,7,74.11,50,2,342,22.3,0.89,0.04,25.19,2240.13,787.78,30.48,1.17,0.43,0.34,0,0.14,0.09,0.04,0.04,0,0.27,0.65,0.22,0.22,0,0.41,0.15,0.21,0.32,0,0.17,0.29,0.18,0.59,0,0.1,0.14,2235,-4.3,2147
28_1,7.68,1.57,63.41,331.86,23.87,2.71,13.9,0.82,2.06,0.8,13,91.62,60,1.5,1709,52.09,2.18,0.07,23.94,3093.72,1187.7,49.08,2,0.38,0,0,0.04,0.58,0.01,0,0,0.12,0.87,0.27,0,0,0.08,0.65,0.22,0,0,0.13,0.65,0.27,0,0,0.23,0.5,3712,-4.7,3538
28_2,6.99,0.79,98.1,406.16,32.37,1.9,12.55,0.79,1.92,0.8,11,99.93,95,1.5,298,51.19,2.11,0.07,24.23,8294.12,2856.5,91.64,4.29,0.82,0,0,0.04,0.14,0.15,0,0,0.64,0.21,0.73,0,0,0.15,0.12,0.41,0,0,0.28,0.31,0.25,0,0,0.17,0.58,3712,-4.7,3538
28_3,6.67,1.04,95.3,396.47,30.46,2.66,13.01,0.86,2.38,0.81,19,92,35,1,1089,56.25,2.26,0.08,24.9,5136.27,1741.73,64.29,2.58,0.23,0.02,0,0.03,0.71,0.02,0,0,0.01,0.97,0.3,0.06,0,0.01,0.64,0.19,0.02,0,0.05,0.73,0.33,0.05,0,0.12,0.5,3712,-4.7,3538
28_4,6.87,1.24,88.57,340.3,25.88,2.34,13.15,0.86,2.26,0.84,15,48.72,98,2.5,1307,101.51,4.01,0.14,25.3,4118.9,1573.25,54.96,2.18,0.71,0.01,0,0.06,0.22,0.19,0.01,0,0.1,0.7,0.37,0.21,0,0.13,0.28,0.37,0.1,0,0.1,0.43,0.21,0.27,0,0.14,0.39,3712,-4.7,3538
28_5,6.78,1.34,80.93,492.46,38.92,2.74,12.65,0.87,2.39,0.84,17,86.22,50,1,1171,45.15,2.08,0.08,21.67,5358.98,1830.12,73.75,3.6,0.59,0,0,0.07,0.34,0.09,0,0,0.1,0.81,0.27,0,0,0.08,0.65,0.34,0,0,0.12,0.54,0.33,0,0,0.2,0.47,3712,-4.7,3538
29_1,7.76,0.9,40.55,97.29,8.52,1.55,11.42,0.88,2.53,0.86,19,93.93,93,1.5,2126,71.92,4.49,0.31,16.02,2106.68,473.1,16.6,1.99,0.12,0.04,0,0.15,0.69,0.03,0.01,0,0.51,0.46,0.18,0,0,0.14,0.67,0.1,0.04,0,0.32,0.54,0.15,0.08,0,0.29,0.48,5525,-1,4277
29_2,7.9,0.81,38.08,108.24,9.56,1.44,11.32,0.86,2.45,0.83,19,87.92,85,1.5,1092,77.14,4.6,0.24,16.75,891.72,297.58,10.35,0.69,0.02,0.03,0,0.08,0.87,0,0,0,0.21,0.78,0,0.1,0,0.22,0.67,0.02,0.02,0,0.19,0.77,0.03,0.03,0,0.29,0.66,5525,-1,4277
29_3,7.96,0.88,35.81,105.11,9.1,1.46,11.55,0.92,2.72,0.89,21,90.46,60,2,812,46.23,2.46,0.15,18.78,1274.75,278.85,9.82,0.96,0.17,0.22,0,0.09,0.51,0.04,0.06,0,0.26,0.53,0.2,0.2,0,0.09,0.51,0.12,0.11,0,0.17,0.54,0.14,0.07,0,0.17,0.59,5525,-1,4277
29_4,8.01,0.93,39.41,103.52,9.25,1.57,11.2,0.87,2.37,0.87,15,68.6,45,2,1949,19.79,1.25,0.1,15.82,1247.02,193.46,8.03,0.93,0.05,0.03,0,0.19,0.73,0.1,0.04,0,0.36,0.51,0.21,0.03,0,0.26,0.5,0.11,0.07,0,0.26,0.56,0.17,0.15,0,0.23,0.45,5525,-1,4277
29_5,7.95,0.85,40.81,102.95,9.22,1.51,11.17,0.85,2.45,0.82,20,178.67,85,2.1,1123,87.97,4.55,0.35,19.32,1443.74,362.78,14.74,1.16,0.13,0,0,0.09,0.77,0.1,0,0,0.1,0.8,0.2,0.02,0,0.08,0.69,0.11,0.05,0,0.13,0.71,0.11,0.15,0,0.2,0.55,5525,-1,4277
30_1,6.36,0.63,71.4,126.18,11.66,1.4,10.82,0.79,1.96,0.76,13,61.31,35,2.4,1407,19.49,1.27,0.09,15.32,1162.1,435.08,22.12,1.19,0.01,0.08,0,0.14,0.78,0,0,0,0.52,0.48,0,0.03,0,0.27,0.7,0.03,0.07,0,0.29,0.61,0.08,0.12,0,0.23,0.57,5701,-3.2,4464
30_2,6.31,0.58,83.97,113.28,10.59,1.22,10.7,0.86,2.3,0.83,17,89.9,97,1.5,2214,20.6,1.3,0.1,15.83,2299.93,471.01,25.54,2.05,0,0.01,0.01,0.17,0.81,0,0,0,0.43,0.57,0,0.05,0,0.25,0.7,0,0.06,0.04,0.24,0.66,0,0.17,0.11,0.13,0.6,5701,-3.2,4464
30_3,6.37,0.64,75.98,144.87,12.98,1.71,11.16,0.87,2.41,0.85,17,71.28,85,1.5,2886,29.24,1.81,0.16,16.15,747.87,273.46,13.49,1.34,0.02,0.04,0,0.18,0.76,0,0,0,0.33,0.67,0.01,0.05,0,0.11,0.83,0.05,0.05,0,0.2,0.69,0.14,0.11,0,0.09,0.66,5701,-3.2,4464
30_4,6.62,0.63,80.49,136.05,12.25,1.73,11.11,0.85,2.55,0.79,25,58.15,50,1.9,1490,20.79,1.34,0.09,15.48,1456.74,321.03,17.71,1.13,0.05,0.05,0.02,0.07,0.83,0,0,0,0.15,0.84,0,0.04,0.01,0.12,0.82,0.06,0.05,0.01,0.14,0.76,0.12,0.09,0.02,0.21,0.62,5771,-3.6,4479
30_5,6.35,0.67,73.29,151.42,13.28,1.95,11.4,0.8,1.95,0.85,10,59.9,60,2.1,792,53.1,3.18,0.25,16.71,890.85,234.4,11.38,0.9,0,0.07,0,0.02,0.91,0,0.01,0,0.13,0.86,0,0.13,0,0.03,0.84,0,0.09,0,0.13,0.77,0,0.19,0,0.26,0.55,5771,-3.6,4479
